12980,"Battle Creek, MI (Metropolitan Statistical Area)",,900,Real GDP by metropolitan area,1,...,All industry total,4885,5280,5309,5353,5421,5291,5188,5214,4944,5305,5124,5166,5297,5188,5224,5240
13020,"Bay City, MI (Metropolitan Statistical Area)",,900,Real GDP by metropolitan area,1,...,All industry total,3040,3160,3181,3115,3095,3176,3091,3003,2958,3013,2982,2991,2976,2852,2882,2869
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",,900,Real GDP by metropolitan area,1,...,All industry total,15339,15791,16627,19032,17335,17766,18940,17288,18665,19789,18179,18723,19399,19625,20491,20735
13220,"Beckley, WV (Metropolitan Statistical Area)",,900,Real GDP by metropolitan area,1,...,All industry total,3670,3664,3454,3522,3662,3738,3540,3723,3520,3779,4365,4028,3923,3885,3720,3585
13380,"Bellingham, WA (Metropolitan Statistical Area)",,900,Real GDP by metropolitan area,1,...,All industry total,6196,6717,7132,7417,9020,8032,8060,8079,8849,9181,8220,8068,8477,8020,8398,8539
13460,"Bend-Redmond, OR (Metropolitan Statistical Area)",,900,Real GDP by metropolitan area,1,...,All industry total,5149,5532,5743,5772,6215,6765,6591,6308,5770,5726,5964,6190,6504,7003,7614,8229
13740,"Billings, MT (Metropolitan Statistical Area)",,900,Real GDP by metropolitan area,1,...,All industry total,5610,5737,6197,6516,6692,6704,7562,7239,6695,7093,7677,7672,7875,8760,9063,9190
13780,"Binghamton, NY (Metropolitan Statistical Area)",,900,Real GDP by metropolitan area,1,...,All industry total,7512,7656,7659,7800,8070,8266,8637,8837,8779,8912,8874,8736,8654,8464,8399,8409
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",,900,Real GDP by metropolitan area,1,...,All industry total,47869,49731,50494,52354,53180,53027,54060,53654,50637,51482,52391,54517,53892,53798,54719,55541
13900,"Bismarck, ND (Metropolitan Statistical Area)",,900,Real GDP by metropolitan area,1,...,All industry total,3977,4059,4295,4374,4504,4548,4626,4805,4852,5108,5310,5946,6215,6804,7187,6890
13980,"Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)",,900,Real GDP by metropolitan area,1,...,All industry total,5057,5092,5368,5401,5629,5804,6063,5642,5422,5486,5563,5986,5926,6056,6224,6096
14010,"Bloomington, IL (Metropolitan Statistical Area)",,900,Real GDP by metropolitan area,1,...,All industry total,8702,8847,9069,9372,9108,9696,9605,9372,9636,9875,9907,10179,10480,10730,10150,10054
14020,"Bloomington, IN (Metropolitan Statistical Area)",,900,Real GDP by metropolitan area,1,...,All industry total,5039,5298,5369,5547,5679,5924,5916,6062,6232,6299,6248,6066,5763,5822,5904,6020
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",,900,Real GDP by metropolitan area,1,...,All industry total,2727,2865,2805,2869,2884,3000,3055,3066,3072,3183,3256,3285,3399,3337,3489,3502
14260,"Boise City, ID (Metropolitan Statistical Area)",,900,Real GDP by metropolitan area,1,...,All industry total,19343,19955,20986,22153,23835,25369,25884,25585,24225,24782,24682,24920,26060,26890,27508,28180
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",,900,Real GDP by metropolitan area,1,...,All industry total,282463,281995,288133,297162,302704,309456,319743,319716,313938,325698,332700,340681,342706,350209,364136,371577
14500,"Boulder, CO (Metropolitan Statistical Area)",,900,Real GDP by metropolitan area,1,...,All industry total,17541,15606,16021,16670,17021,17159,18099,18141,18220,18972,19450,19983,19942,20915,21333,21675
14540,"Bowling Green, KY (Metropolitan Statistical Area)",,900,Real GDP by metropolitan area,1,...,All industry total,4375,4559,4717,4856,5178,5373,5367,5386,5004,5318,5444,5672,5882,5916,6037,6312
